Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
10000,1,1,1,10000,1,8760,8760,1,3341.112759,293.7533734,2529.66324,1809.65051,16666.55277,9745.338352,10919.13158,2179.242037,7837.704169
,,,,,,,,2,3300.59053,285.7036541,2422.005134,1735.829586,16460.24857,9363.956963,10671.22107,2150.289452,7806.914894
,,,,,,,,3,3275.881782,282.7766466,2372.021576,1613.942051,16501.73021,8858.533775,10241.41991,2034.885271,7957.215984
,,,,,,,,4,3306.520709,285.8552401,2344.006368,1675.092102,16751.29204,8545.151134,9935.119384,1947.717272,8313.632136
,,,,,,,,5,3375.703823,295.7046452,2354.750323,1672.931316,17438.05861,8488.674253,9940.871413,1942.321755,8921.429683
,,,,,,,,6,3500.235599,315.8825472,2492.477324,1788.776762,18601.61357,8784.254282,10141.70818,2002.581652,9687.056325
,,,,,,,,7,3646.510048,336.3804753,2656.923919,1963.136575,20081.16158,9544.08383,10655.45734,2142.960043,10544.16219
,,,,,,,,8,3553.125527,345.5697829,2691.110034,2079.396567,21246.94416,10495.00126,11015.80916,2365.24891,10154.21106
,,,,,,,,9,3286.507343,323.6592121,2544.30093,1988.21515,21615.35625,10755.82613,10247.63645,2011.200974,9945.914309
,,,,,,,,10,3085.8545,305.0527193,2420.161148,1787.184864,21584.77462,10121.55679,9363.116586,1606.883608,8521.217252
,,,,,,,,11,2906.483377,290.1549992,2278.635908,1698.606482,21420.20099,9409.439608,8612.262228,1376.33264,8037.083446
,,,,,,,,12,2821.326881,280.6730906,2189.461972,1682.056284,21138.19102,7879.051068,7905.470199,1118.510477,7419.43997
,,,,,,,,13,2788.297326,280.4315501,2178.067257,1639.451992,20573.82572,7234.087451,7535.062209,1101.006608,6786.308944
,,,,,,,,14,2856.605916,286.3592638,2209.08522,1586.345527,20202.49233,7514.674985,7830.837117,1192.303699,6589.125311
,,,,,,,,15,2986.926724,292.82441,2308.630965,1646.222258,20006.61783,8661.916531,8420.382618,1453.479832,6359.961571
,,,,,,,,16,3254.579333,308.7788447,2502.129457,1803.209705,20214.90366,9525.696917,9418.973539,1796.614397,6961.09593
,,,,,,,,17,3689.422904,343.1838978,2833.316554,2015.761216,21094.22397,10496.4669,10657.86885,2286.758956,8489.885998
,,,,,,,,18,3989.463488,388.4910814,3182.140158,2335.402239,22101.60809,11430.95746,11725.72034,2617.845847,9116.003173
,,,,,,,,19,4004.288935,391.4108088,3308.348396,2466.510711,22053.10708,12956.79373,12538.35762,2862.347062,9169.028301
,,,,,,,,20,3975.627063,385.5156063,3320.105411,2455.009274,21567.51348,13036.61236,12624.57877,2800.519303,9209.548061
,,,,,,,,21,3908.420017,374.976684,3259.644701,2398.874344,20869.96989,12691.49377,12568.47177,2697.634523,9086.292463
,,,,,,,,22,3754.239322,358.945858,3147.471633,2296.11234,19607.76974,12197.09511,12472.68367,2586.823334,8602.884441
,,,,,,,,23,3619.824244,337.13681,2979.381368,2097.791941,18418.5725,11750.54463,12243.10652,2466.889775,8268.161201
,,,,,,,,24,3450.818102,317.0516548,2778.254895,1991.530532,17392.07647,11178.7603,11974.08547,2364.132225,8129.396774
,,,,,,,,25,3425.12132,308.4642038,2636.000134,1992.937417,17387.08596,10672.0112,11681.36448,2300.572186,8121.873006
,,,,,,,,26,3386.576146,299.6662277,2552.305979,1910.365506,17125.49162,10071.11931,11173.66384,2216.007503,8179.7304
,,,,,,,,27,3357.914274,298.8420781,2503.026345,1827.372123,17131.32536,9478.294287,10776.50693,2091.938001,8357.000243
,,,,,,,,28,3388.553201,301.0208288,2475.362607,1846.396737,17549.75076,9219.283871,10454.66999,2004.468566,8749.037165
,,,,,,,,29,3476.514885,313.1247776,2535.24541,1880.872358,18529.69102,9219.839836,10497.56314,2006.944651,9585.149523
,,,,,,,,30,3656.393349,339.5113262,2733.333686,2025.740011,20204.55367,9653.934348,10839.89786,2093.879721,10492.20571
,,,,,,,,31,3834.294759,370.0448509,2998.054564,2217.409858,22095.69465,10609.93656,11592.46498,2266.787809,11440.9256
,,,,,,,,32,3723.901444,379.063325,3102.191078,2331.451681,23142.01792,11809.75639,12222.84594,2642.876821,10877.88312
,,,,,,,,33,3416.761031,349.4135869,2968.414915,2227.625114,23196.82398,12341.39202,11601.8145,2339.880288,9507.95267
,,,,,,,,34,3145.361591,322.7647546,2820.627209,2030.853081,22840.7386,10477.86307,10627.94248,1851.417118,8316.031515
,,,,,,,,35,2942.064449,303.4168861,2619.22015,1876.783288,22248.97863,9538.109891,9825.274392,1535.424562,7459.247522
,,,,,,,,36,2865.801247,292.059399,2517.971203,1803.875552,21766.08889,8785.783431,9037.759245,1268.004387,7432.181522
,,,,,,,,37,2822.682097,289.2771961,2486.310355,1717.124538,21138.95455,8256.940331,8569.884,1193.209966,6460.638258
,,,,,,,,38,2866.489218,297.3077677,2514.450596,1658.361839,20608.10201,8259.692798,8801.656211,1321.420305,6306.455411
,,,,,,,,39,2993.844936,305.8758715,2596.881625,1701.257007,20575.17174,8560.189553,9320.520927,1528.892785,6348.306961
,,,,,,,,40,3237.777818,322.2850644,2753.611633,1818.3639,20594.30727,9473.69707,10261.84851,1902.916762,6928.79443
,,,,,,,,41,3646.92362,354.7578937,3054.74854,2056.863643,21181.26859,10666.16819,11337.12229,2387.041399,8414.848297
,,,,,,,,42,3979.580186,399.2484073,3384.209792,2377.347611,22215.95882,12181.21737,12244.58901,2707.568226,9138.272725
,,,,,,,,43,4005.276969,402.9921845,3481.600446,2553.452674,22157.55452,13765.34693,13382.7892,3024.198889,9165.276527
,,,,,,,,44,3971.67394,396.0793608,3481.755014,2473.043527,21599.90062,13711.12811,13488.87561,2932.406581,9240.500247
,,,,,,,,45,3918.303319,386.0710895,3428.311889,2443.444516,20861.89278,13329.91576,13296.79537,2810.958989,9030.518159
,,,,,,,,46,3764.122624,369.0645278,3335.111308,2340.085921,19715.28312,12847.11518,13203.34959,2685.074995,8714.718338
,,,,,,,,47,3595.115495,342.990825,3115.743839,2139.539438,18344.4361,12307.98526,12955.82453,2545.365049,8457.93314
,,,,,,,,48,3442.911856,322.9814628,2909.062762,2027.085556,17210.27614,11655.27819,12534.96768,2459.943034,8296.023946
,,,,,,,,49,3389.541235,308.3294717,2748.017649,2025.043494,16493.43664,10831.15991,11878.47527,2332.78968,8262.449292
,,,,,,,,50,3340.123738,300.3556451,2626.028035,1907.81194,16183.46525,10191.56541,11296.68019,2250.303734,8313.547984
,,,,,,,,51,3316.404011,299.7420207,2559.773485,1852.701998,16067.85115,9618.77077,10869.29054,2121.046197,8451.323004
,,,,,,,,52,3356.92624,300.6588173,2526.413374,1831.93807,16324.29166,9307.236786,10576.91545,2032.783045,8870.337538
,,,,,,,,53,3446.864979,314.6382449,2590.290332,1876.717989,17214.44605,9331.262496,10582.75643,2029.943865,9608.176632
,,,,,,,,54,3616.859155,340.5869889,2757.564439,1998.756897,18691.79497,9718.475168,10925.37777,2109.247111,10646.30036
,,,,,,,,55,3785.865296,370.2450044,3019.079753,2211.038309,20206.81967,10636.74796,11626.53241,2278.554598,11473.58913
,,,,,,,,56,3644.25958,384.1417577,3041.554141,2327.956233,21170.14425,11850.12983,12228.98341,2537.764543,10709.2938
,,,,,,,,57,3368.539835,349.2635965,2933.312221,2271.600674,21232.88966,12380.21188,11633.87564,2243.846338,9484.357585
,,,,,,,,58,3132.880382,325.5394779,2769.512449,2003.494005,20914.37774,10814.26599,10754.34877,1849.614372,8265.956795
,,,,,,,,59,2963.968009,308.294567,2586.338511,1891.441808,20582.6388,9972.40373,9821.008797,1513.897298,7422.107884
,,,,,,,,60,2868.927225,297.0767984,2505.0948,1788.597686,20270.26466,9047.162317,9196.331441,1291.772851,6828.835728
,,,,,,,,61,2817.1191,293.0914808,2456.749467,1757.95192,19978.36222,8669.433298,8665.151253,1194.325672,6432.162477
,,,,,,,,62,2867.845421,298.3607923,2472.472087,1752.031524,19461.27588,9357.121229,8787.731753,1339.996819,6298.213081
,,,,,,,,63,2977.617883,305.5861626,2540.970334,1830.27098,19373.17255,9880.684126,9297.420894,1521.610353,6355.073173
,,,,,,,,64,3220.561744,321.9952558,2718.610343,1920.407621,19312.71872,10199.32352,10149.25895,1880.822836,6878.75004
,,,,,,,,65,3599.483179,352.9546177,2999.987156,2125.859406,19974.32219,11070.83075,11245.54445,2364.759565,8311.810167
,,,,,,,,66,3890.629482,396.8173456,3330.542198,2418.678582,20957.2969,12247.58144,12302.68253,2774.373602,9026.565923
,,,,,,,,67,3918.303319,404.6153523,3440.772828,2542.352921,20961.18442,13882.27551,13503.11732,3121.706746,9125.779681
,,,,,,,,68,3932.139745,397.0720501,3418.22854,2497.715471,20545.43138,13822.66314,13498.7094,2977.309854,9149.926372
,,,,,,,,69,3870.862878,387.5087638,3376.824984,2439.712609,19751.05893,13422.37795,13471.69858,2882.234041,8999.690659
,,,,,,,,70,3709.76397,368.2477581,3289.966615,2292.285453,18523.4824,12991.45117,13342.58429,2758.489464,8596.159632
,,,,,,,,71,3550.64113,344.6389247,3105.491155,2130.210659,17176.44853,12423.5459,13157.08627,2633.66637,8327.799546
,,,,,,,,72,3394.482393,323.5193939,2869.444123,1973.311265,16133.29057,11781.71386,12731.74245,2542.473999,8140.840235
,,,,,,,,73,3339.135704,313.410996,2710.353261,1931.384692,15469.81959,10922.39097,11972.32626,2395.34069,8035.021636
,,,,,,,,74,3300.59053,305.5887555,2604.424938,1856.936506,15091.72167,10310.31137,11358.5491,2307.301658,8070.696517
,,,,,,,,75,3271.928659,304.5372269,2552.064774,1808.709619,14952.46562,9696.578541,10914.68413,2177.738769,8225.788662
,,,,,,,,76,3299.602496,305.6644489,2532.825485,1799.882451,15254.50454,9372.227068,10641.54178,2077.637383,8608.180503
,,,,,,,,77,3388.553201,317.8441907,2569.095807,1842.135517,16117.15407,9382.182656,10593.99364,2063.450294,9324.843341
,,,,,,,,78,3559.535411,345.5338809,2752.26187,1987.433547,17616.44469,9752.286451,10904.16839,2128.961841,10332.12706
,,,,,,,,79,3730.518608,374.3507931,2998.589153,2180.613174,19178.54272,10618.25161,11577.03728,2271.721385,11162.27986
,,,,,,,,80,3651.544974,382.4935583,3072.11726,2281.049167,20155.47804,11891.70508,12222.34189,2604.015001,10399.33664
,,,,,,,,81,3333.947785,354.4140326,2970.561146,2241.069676,20211.7295,12873.85818,11854.42942,2382.674485,9229.900517
,,,,,,,,82,3122.99708,327.782154,2777.593305,2039.901867,20050.13915,10926.36773,10777.94988,1947.99522,8043.740472
,,,,,,,,83,2963.968009,310.6180226,2610.160692,1950.491424,19875.18503,9846.007139,9758.159471,1602.901318,7255.400509
,,,,,,,,84,2882.76365,300.0897711,2508.558305,1849.717066,19416.31309,8863.871628,8968.130035,1285.374176,6707.009552
,,,,,,,,85,2829.967491,296.3318326,2463.145826,1689.654653,19137.76755,8143.22346,8577.156068,1150.966772,6378.202438
,,,,,,,,86,2861.915242,303.7091879,2475.509299,1623.782335,18719.86461,8187.146666,8754.591364,1269.021246,6298.216547
,,,,,,,,87,2969.917929,308.6160891,2554.616623,1652.176292,18601.84381,8506.735794,9245.547864,1480.033647,6385.336356
,,,,,,,,88,3177.488985,326.2113433,2727.06039,1749.853919,18766.09372,9390.368731,10192.94275,1820.633405,6937.024147
,,,,,,,,89,3583.669698,353.7764736,3005.768197,2009.58952,19720.28445,10532.44342,11196.08885,2233.435035,8176.990852
,,,,,,,,90,3898.536715,394.5555218,3319.094319,2368.416559,20737.09465,11921.48684,12067.25452,2620.589115,8821.423995
,,,,,,,,91,3920.280374,401.8914901,3405.27633,2475.530806,20706.52581,13314.70244,13201.96594,2985.867519,8825.25087
,,,,,,,,92,3906.442962,397.4266818,3384.025688,2447.780929,20304.7151,13488.24371,13365.1872,2977.371511,8907.186401
,,,,,,,,93,3839.235916,388.1666673,3374.728963,2410.088864,19416.41641,13138.84547,13172.40525,2830.731462,8727.064358
,,,,,,,,94,3689.996379,369.2088338,3239.322451,2317.440209,18415.83717,12719.94669,13007.75093,2704.785811,8291.761292
,,,,,,,,95,3550.64113,345.2210352,3059.48797,2111.642145,17009.32258,12159.84837,12857.111,2564.649156,8040.724206
,,,,,,,,96,3414.249984,320.4261404,2845.352185,1967.113846,15996.66163,11557.34428,12501.7502,2483.737923,7874.004699
,,,,,,,,97,3359.890342,306.4024337,2646.644653,1906.354596,15489.26408,10710.04939,11703.37439,2350.798553,7738.319123
