Time_Index,biomass_north,biomass_pge,biomass_sce,coal_central,coal_south,ngcc_central,ngcc_iid,ngcc_ladwp,ngcc_ncnc,ngcc_north,ngcc_pge,ngcc_sce,ngcc_sdge,ngcc_south,nuclear_north,nuclear_pge,nuclear_south,peaker_central,peaker_iid,peaker_ladwp,peaker_ncnc,peaker_north,peaker_pge,peaker_sce,peaker_sdge,peaker_south,ng_ccs_central,ng_ccs_north,ng_ccs_pge,ng_ccs_sce,ng_ccs_sdge,ng_ccs_south,None
0,0,0,0,0.094,0.094,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0,0,0,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.00265,0.00265,0.00265,0.00265,0.00265,0.00265,0
1,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
2,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
3,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
4,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
5,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
6,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
7,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
8,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
9,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
10,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
11,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
12,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
13,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
14,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
15,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
16,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
