Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
North_Biomass,0.07,30,30,68.028169,0,0
PGE_Biomass,0.07,30,30,0,0,0
SCE_Biomass,0.07,30,30,0,0,0
Central_Coal,0.07,30,30,210,0,0
South_Coal,0.07,30,30,567.567568,0,0
Central_Geothermal,0.07,30,30,0,0,0
IID_Geothermal,0.07,30,30,0,0,0
LADWP_Geothermal,0.07,30,30,0,0,0
PGE_Geothermal,0.07,30,30,0,0,0
SCE_Geothermal,0.07,30,30,0,0,0
LADWP_Hydro,0.07,30,30,0,0,0
NCNC_Hydro,0.07,30,30,0,0,0
North_Hydro,0.07,30,30,10.000007,0,0
PGE_Hydro,0.07,30,30,0,0,0
SCE_Hydro,0.07,30,30,0,0,0
South_Hydro,0.07,30,30,0,0,0
Central_NGCC_1,0.07,30,30,131.515152,0,0
Central_NGCC_2,0.07,30,30,0,0,0
IID_NGCC_1,0.07,30,30,0,0,0
IID_NGCC_2,0.07,30,30,0,0,0
LADWP_NGCC_1,0.07,30,30,215.88957,0,0
LADWP_NGCC_2,0.07,30,30,0,0,0
NCNC_NGCC_1,0.07,30,30,0,0,0
NCNC_NGCC_2,0.07,30,30,0,0,0
North_NGCC_1,0.07,30,30,0,0,0
North_NGCC_2,0.07,30,30,0,0,0
PGE_NGCC_1,0.07,30,30,0,0,0
PGE_NGCC_2,0.07,30,30,0,0,0
SCE_NGCC_1,0.07,30,30,0,0,0
SCE_NGCC_2,0.07,30,30,0,0,0
SDGE_NGCC_1,0.07,30,30,0,0,0
SDGE_NGCC_2,0.07,30,30,0,0,0
South_NGCC_1,0.07,30,30,0,0,0
South_NGCC_2,0.07,30,30,0,0,0
North_Nuclear,0.07,30,30,0,0,0
PGE_Nuclear,0.07,30,30,0,0,0
South_Nuclear,0.07,30,30,0,0,0
Central_Peaker_1,0.07,30,30,0,0,0
Central_Peaker_2,0.07,30,30,65.8,0,0
IID_Peaker_1,0.07,30,30,0,0,0
IID_Peaker_2,0.07,30,30,0,0,0
LADWP_Peaker_1,0.07,30,30,0,0,0
LADWP_Peaker_2,0.07,30,30,0,0,0
NCNC_Peaker_1,0.07,30,30,0,0,0
NCNC_Peaker_2,0.07,30,30,0,0,0
North_Peaker_1,0.07,30,30,0,0,0
North_Peaker_2,0.07,30,30,0,0,0
PGE_Peaker_1,0.07,30,30,0,0,0
PGE_Peaker_2,0.07,30,30,0,0,0
SCE_Peaker_1,0.07,30,30,0,0,0
SCE_Peaker_2,0.07,30,30,0,0,0
SDGE_Peaker_1,0.07,30,30,0,0,0
SDGE_Peaker_2,0.07,30,30,0,0,0
South_Peaker_1,0.07,30,30,0,0,0
South_Peaker_2,0.07,30,30,0,0,0
Central_Solar,0.07,30,30,0,0,0
IID_Solar,0.07,30,30,0,0,0
LADWP_Solar,0.07,30,30,0,0,0
NCNC_Solar,0.07,30,30,0,0,0
North_Solar,0.07,30,30,0,0,0
PGE_Solar,0.07,30,30,0,0,0
SCE_Solar,0.07,30,30,0,0,0
SDGE_Solar,0.07,30,30,0,0,0
South_Solar,0.07,30,30,0,0,0
Central_Storage,0.07,30,30,0,0,0
IID_Storage,0.07,30,30,0,0,0
LADWP_Storage,0.07,30,30,0,0,0
North_Storage,0.07,30,30,0,0,0
PGE_Storage,0.07,30,30,0,0,0
SCE_Storage,0.07,30,30,0,0,0
SDGE_Storage,0.07,30,30,0,0,0
South_Storage,0.07,30,30,0,0,0
Central_Wind,0.07,30,30,0,0,0
LADWP_Wind,0.07,30,30,0,0,0
North_Wind,0.07,30,30,66.398413,0,0
PGE_Wind,0.07,30,30,0,0,0
SCE_Wind,0.07,30,30,0,0,0
SDGE_Wind,0.07,30,30,0,0,0
South_Wind,0.07,30,30,0,0,0
Central_NGCC_Invest,0.07,30,30,0,0,0
IID_NGCC_Invest,0.07,30,30,0,0,0
LADWP_NGCC_Invest,0.07,30,30,0,0,0
NCNC_NGCC_Invest,0.07,30,30,0,0,0
North_NGCC_Invest,0.07,30,30,0,0,0
PGE_NGCC_Invest,0.07,30,30,0,0,0
SCE_NGCC_Invest,0.07,30,30,0,0,0
SDGE_NGCC_Invest,0.07,30,30,0,0,0
South_NGCC_Invest,0.07,30,30,0,0,0
Central_Peaker_Invest,0.07,30,30,0,0,0
IID_Peaker_Invest,0.07,30,30,0,0,0
LADWP_Peaker_Invest,0.07,30,30,0,0,0
NCNC_Peaker_Invest,0.07,30,30,0,0,0
North_Peaker_Invest,0.07,30,30,0,0,0
PGE_Peaker_Invest,0.07,30,30,0,0,0
SCE_Peaker_Invest,0.07,30,30,0,0,0
SDGE_Peaker_Invest,0.07,30,30,0,0,0
South_Peaker_Invest,0.07,30,30,0,0,0
Central_NG-CCS_Invest,0.07,30,30,0,0,0
North_NG-CCS_Invest,0.07,30,30,0,0,0
PGE_NG-CCS_Invest,0.07,30,30,0,0,0
SCE_NG-CCS_Invest,0.07,30,30,0,0,0
SDGE_NG-CCS_Invest,0.07,30,30,0,0,0
South_NG-CCS_Invest,0.07,30,30,0,0,0
Central_Solar_Invest,0.07,30,30,0,0,0
IID_Solar_Invest,0.07,30,30,0,0,0
LADWP_Solar_Invest,0.07,30,30,0,0,0
NCNC_Solar_Invest,0.07,30,30,0,0,0
North_Solar_Invest,0.07,30,30,0,0,0
PGE_Solar_Invest,0.07,30,30,0,0,0
SCE_Solar_Invest,0.07,30,30,0,0,0
SDGE_Solar_Invest,0.07,30,30,0,0,0
South_Solar_Invest,0.07,30,30,0,0,0
Central_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
IID_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
LADWP_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
NCNC_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
North_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
PGE_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
SCE_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
SDGE_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
South_Solar_LowerQuality_Invest,0.07,30,30,0,0,0
Central_Storage_Invest,0.07,30,30,0,0,0
IID_Storage_Invest,0.07,30,30,0,0,0
LADWP_Storage_Invest,0.07,30,30,0,0,0
NCNC_Storage_Invest,0.07,30,30,0,0,0
North_Storage_Invest,0.07,30,30,0,0,0
PGE_Storage_Invest,0.07,30,30,0,0,0
SCE_Storage_Invest,0.07,30,30,0,0,0
SDGE_Storage_Invest,0.07,30,30,0,0,0
South_Storage_Invest,0.07,30,30,0,0,0
Central_Wind_Invest,0.07,30,30,0,0,0
LADWP_Wind_Invest,0.07,30,30,0,0,0
North_Wind_Invest,0.07,30,30,0,0,0
PGE_Wind_Invest,0.07,30,30,0,0,0
South_Wind_Invest,0.07,30,30,0,0,0
Central_Wind_LowerQuality_Invest,0.07,30,30,0,0,0
LADWP_Wind_LowerQuality_Invest,0.07,30,30,0,0,0
North_Wind_LowerQuality_Invest,0.07,30,30,0,0,0
PGE_Wind_LowerQuality_Invest,0.07,30,30,0,0,0
South_Wind_LowerQuality_Invest,0.07,30,30,0,0,0
