Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
Central_Storage,1,1,0,1,1220,4880,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,Central,0
IID_Storage,2,1,0,1,120,480,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,IID,0
LADWP_Storage,3,1,0,1,1620,6480,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,LADWP,0
North_Storage,5,1,0,1,320,1280,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,North,0
PGE_Storage,6,1,0,1,4420,17680,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,PGE,0
SCE_Storage,7,1,0,1,8650,34600,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,SCE,0
SDGE_Storage,8,1,0,1,1590,6360,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,SDGE,0
South_Storage,9,1,0,1,1950,7800,-1,-1,-1,-1,0,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,South,0
Central_Storage_Invest,1,1,1,1,0,0,19000,76000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,Central,0
IID_Storage_Invest,2,1,1,1,0,0,1900,7600,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,IID,0
LADWP_Storage_Invest,3,1,1,1,0,0,9500,38000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,LADWP,0
NCNC_Storage_Invest,4,1,1,1,0,0,19000,76000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,NCNC,0
North_Storage_Invest,5,1,1,1,0,0,38000,152000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,North,0
PGE_Storage_Invest,6,1,1,1,0,0,38000,152000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,PGE,0
SCE_Storage_Invest,7,1,1,1,0,0,38000,152000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,SCE,0
SDGE_Storage_Invest,8,1,1,1,0,0,19000,76000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,SDGE,0
South_Storage_Invest,9,1,1,1,0,0,38000,152000,-1,-1,131355.83852,0,16000,0,0,0,0,0.948683,0.948683,4,4,0,0,0,0,South,0
