,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1,Line_Max_Flow_Possible_MW,WACC,Capital_Recovery_Period
Central,z1,1,1,5,300,Central_to_North,608,0.019,-1,0,1,0,300,0.07,30
IID,z2,2,1,6,150,Central_to_PGE,439,0.014,-1,0,1,0,150,0.07,30
LADWP,z3,3,1,7,3110,Central_to_SCE,435,0.014,-1,0,1,0,3110,0.07,30
NCNC,z4,4,1,9,7294,Central_to_South,720,0.022,-1,0,1,0,7294,0.07,30
North,z5,5,2,3,500,IID_to_LADWP,403,0.013,-1,0,1,0,500,0.07,30
PGE,z6,6,2,7,1500,IID_to_SCE,277,0.009,-1,0,1,0,1500,0.07,30
SCE,z7,7,2,8,370,IID_to_SDGE,117,0.004,-1,0,1,0,370,0.07,30
SDGE,z8,8,3,5,3100,LADWP_to_North,931,0.029,-1,0,1,0,3100,0.07,30
South,z9,9,3,7,2556,LADWP_to_SCE,126,0.004,-1,0,1,0,2556,0.07,30
,,10,4,5,1225,NCNC_to_North,654,0.02,-1,0,1,0,1225,0.07,30
,,11,4,6,15000,NCNC_to_PGE,210,0.007,-1,0,1,0,15000,0.07,30
,,12,6,5,3920,PGE_to_North,774,0.024,-1,0,1,0,3920,0.07,30
,,13,7,6,3000,SCE_to_PGE,468,0.015,-1,0,1,0,3000,0.07,30
,,14,8,7,2500,SDGE_to_SCE,254,0.008,-1,0,1,0,2500,0.07,30
,,15,9,2,625,South_to_IID,331,0.01,-1,0,1,0,625,0.07,30
,,16,9,7,5971,South_to_SCE,508,0.016,-1,0,1,0,5971,0.07,30
,,17,9,8,1062,South_to_SDGE,448,0.014,-1,0,1,0,1062,0.07,30
