Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
North_Biomass,5,2,0,1,690,-1,-1,0,38000,1.86,9.6,biomass_north,1,0,0,0,0,1,1,0,0,0,0,0,North,1
PGE_Biomass,6,2,0,1,550,-1,-1,0,38000,1.86,9.6,biomass_pge,1,0,0,0,0,1,1,0,0,0,0,0,PGE,1
SCE_Biomass,7,2,0,1,180,-1,-1,0,38000,1.86,9.6,biomass_sce,1,0,0,0,0,1,1,0,0,0,0,0,SCE,1
Central_Coal,1,2,0,1,210,-1,-1,0,46000,2.2,11.2,coal_central,1,0,0,0,0,1,1,0,0,0,0,0,Central,1
South_Coal,9,2,0,1,1050,-1,-1,0,46000,2.2,11.2,coal_south,1,0,0,0,0,1,1,0,0,0,0,0,South,1
Central_Geothermal,1,2,0,1,450,-1,-1,0,132000,2.59,0,None,1,0,0,0,0,1,1,0,0,0,0,0,Central,1
IID_Geothermal,2,2,0,1,460,-1,-1,0,132000,2.59,0,None,1,0,0,0,0,1,1,0,0,0,0,0,IID,1
LADWP_Geothermal,3,2,0,1,120,-1,-1,0,132000,2.59,0,None,1,0,0,0,0,1,1,0,0,0,0,0,LADWP,1
PGE_Geothermal,6,2,0,1,550,-1,-1,0,132000,2.59,0,None,1,0,0,0,0,1,1,0,0,0,0,0,PGE,1
SCE_Geothermal,7,2,0,1,190,-1,-1,0,132000,2.59,0,None,1,0,0,0,0,1,1,0,0,0,0,0,SCE,1
Central_NGCC_1,1,2,0,1,1860,-1,-1,0,17000,2,6.9,ngcc_central,1,0,0,0,0,1,1,0,0,0,0,0,Central,1
Central_NGCC_2,1,2,0,1,2250,-1,-1,0,21000,2,7.8,ngcc_central,1,0,0,0,0,1,1,0,0,0,0,0,Central,1
IID_NGCC_1,2,2,0,1,140,-1,-1,0,17000,2,6.9,ngcc_iid,1,0,0,0,0,1,1,0,0,0,0,0,IID,1
IID_NGCC_2,2,2,0,1,280,-1,-1,0,21000,2,7.8,ngcc_iid,1,0,0,0,0,1,1,0,0,0,0,0,IID,1
LADWP_NGCC_1,3,2,0,1,1530,-1,-1,0,17000,2,6.9,ngcc_ladwp,1,0,0,0,0,1,1,0,0,0,0,0,LADWP,1
