Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
Central_Solar,1,1,0,1,5880,-1,-1,0,7000,0,0,0,0,0,Central,1
IID_Solar,2,1,0,1,630,-1,-1,0,7000,0,0,0,0,0,IID,1
LADWP_Solar,3,1,0,1,2290,-1,-1,0,7000,0,0,0,0,0,LADWP,1
NCNC_Solar,4,1,0,1,470,-1,-1,0,7000,0,0,0,0,0,NCNC,1
North_Solar,5,1,0,1,1660,-1,-1,0,7000,0,0,0,0,0,North,1
PGE_Solar,6,1,0,1,6890,-1,-1,0,7000,0,0,0,0,0,PGE,1
SCE_Solar,7,1,0,1,11600,-1,-1,0,7000,0,0,0,0,0,SCE,1
SDGE_Solar,8,1,0,1,2310,-1,-1,0,7000,0,0,0,0,0,SDGE,1
South_Solar,9,1,0,1,4000,-1,-1,0,7000,0,0,0,0,0,South,1
Central_Wind,1,1,0,1,140,-1,-1,0,31000,0,0,0,0,0,Central,1
LADWP_Wind,3,1,0,1,400,-1,-1,0,31000,0,0,0,0,0,LADWP,1
North_Wind,5,1,0,1,7190,-1,-1,0,31000,0,0,0,0,0,North,1
PGE_Wind,6,1,0,1,1690,-1,-1,0,31000,0,0,0,0,0,PGE,1
SCE_Wind,7,1,0,1,3760,-1,-1,0,31000,0,0,0,0,0,SCE,1
SDGE_Wind,8,1,0,1,660,-1,-1,0,31000,0,0,0,0,0,SDGE,1
South_Wind,9,1,0,1,1970,-1,-1,0,31000,0,0,0,0,0,South,1
Central_Solar_Invest,1,1,1,1,0,14630,-1,123297.19812,7000,0,0,0,0,0,Central,1
IID_Solar_Invest,2,1,1,1,0,14630,-1,123297.19812,7000,0,0,0,0,0,IID,1
LADWP_Solar_Invest,3,1,1,1,0,7020,-1,123297.19812,7000,0,0,0,0,0,LADWP,1
NCNC_Solar_Invest,4,1,1,1,0,1950,-1,123297.19812,7000,0,0,0,0,0,NCNC,1
North_Solar_Invest,5,1,1,1,0,9750,-1,123297.19812,7000,0,0,0,0,0,North,1
PGE_Solar_Invest,6,1,1,1,0,9750,-1,123297.19812,7000,0,0,0,0,0,PGE,1
SCE_Solar_Invest,7,1,1,1,0,14630,-1,123297.19812,7000,0,0,0,0,0,SCE,1
SDGE_Solar_Invest,8,1,1,1,0,1850,-1,123297.19812,7000,0,0,0,0,0,SDGE,1
South_Solar_Invest,9,1,1,1,0,9750,-1,123297.19812,7000,0,0,0,0,0,South,1
Central_Solar_LowerQuality_Invest,1,1,1,1,0,29250,-1,123297.19812,7000,0,0,0,0,0,Central,1
IID_Solar_LowerQuality_Invest,2,1,1,1,0,29250,-1,123297.19812,7000,0,0,0,0,0,IID,1
LADWP_Solar_LowerQuality_Invest,3,1,1,1,0,14040,-1,123297.19812,7000,0,0,0,0,0,LADWP,1
NCNC_Solar_LowerQuality_Invest,4,1,1,1,0,3900,-1,123297.19812,7000,0,0,0,0,0,NCNC,1
North_Solar_LowerQuality_Invest,5,1,1,1,0,19500,-1,123297.19812,7000,0,0,0,0,0,North,1
PGE_Solar_LowerQuality_Invest,6,1,1,1,0,19500,-1,123297.19812,7000,0,0,0,0,0,PGE,1
SCE_Solar_LowerQuality_Invest,7,1,1,1,0,29250,-1,123297.19812,7000,0,0,0,0,0,SCE,1
SDGE_Solar_LowerQuality_Invest,8,1,1,1,0,9750,-1,123297.19812,7000,0,0,0,0,0,SDGE,1
South_Solar_LowerQuality_Invest,9,1,1,1,0,19500,-1,123297.19812,7000,0,0,0,0,0,South,1
Central_Wind_Invest,1,1,1,1,0,4750,-1,132967.5666,31000,0,0,0,0,0,Central,1
LADWP_Wind_Invest,3,1,1,1,0,760,-1,132967.5666,31000,0,0,0,0,0,LADWP,1
North_Wind_Invest,5,1,1,1,0,9490,-1,132967.5666,31000,0,0,0,0,0,North,1
PGE_Wind_Invest,6,1,1,1,0,1040,-1,132967.5666,31000,0,0,0,0,0,PGE,1
South_Wind_Invest,9,1,1,1,0,9490,-1,132967.5666,31000,0,0,0,0,0,South,1
Central_Wind_LowerQuality_Invest,1,1,1,1,0,18980,-1,132967.5666,31000,0,0,0,0,0,Central,1
LADWP_Wind_LowerQuality_Invest,3,1,1,1,0,4750,-1,132967.5666,31000,0,0,0,0,0,LADWP,1
North_Wind_LowerQuality_Invest,5,1,1,1,0,37960,-1,132967.5666,31000,0,0,0,0,0,North,1
PGE_Wind_LowerQuality_Invest,6,1,1,1,0,18980,-1,132967.5666,31000,0,0,0,0,0,PGE,1
South_Wind_LowerQuality_Invest,9,1,1,1,0,18980,-1,132967.5666,31000,0,0,0,0,0,South,1
