Resource,Derating_Factor_1
North_Biomass,0.97
PGE_Biomass,0.97
SCE_Biomass,0.97
Central_Coal,0.97
South_Coal,0.97
Central_Geothermal,1
IID_Geothermal,1
LADWP_Geothermal,1
PGE_Geothermal,1
SCE_Geothermal,1
LADWP_Hydro,0.5
NCNC_Hydro,0.5
North_Hydro,0.75
PGE_Hydro,0.5
SCE_Hydro,0.5
South_Hydro,0.5
Central_NGCC_1,0.97
Central_NGCC_2,0.97
IID_NGCC_1,0.97
IID_NGCC_2,0.97
LADWP_NGCC_1,0.97
LADWP_NGCC_2,0.97
NCNC_NGCC_1,0.97
NCNC_NGCC_2,0.97
North_NGCC_1,0.97
North_NGCC_2,0.97
PGE_NGCC_1,0.97
PGE_NGCC_2,0.97
SCE_NGCC_1,0.97
SCE_NGCC_2,0.97
SDGE_NGCC_1,0.97
SDGE_NGCC_2,0.97
South_NGCC_1,0.97
South_NGCC_2,0.97
North_Nuclear,1
PGE_Nuclear,1
South_Nuclear,1
Central_Peaker_1,0.97
Central_Peaker_2,0.97
IID_Peaker_1,0.97
IID_Peaker_2,0.97
LADWP_Peaker_1,0.97
LADWP_Peaker_2,0.97
NCNC_Peaker_1,0.97
NCNC_Peaker_2,0.97
North_Peaker_1,0.97
North_Peaker_2,0.97
PGE_Peaker_1,0.97
PGE_Peaker_2,0.97
SCE_Peaker_1,0.97
SCE_Peaker_2,0.97
SDGE_Peaker_1,0.97
SDGE_Peaker_2,0.97
South_Peaker_1,0.97
South_Peaker_2,0.97
Central_Solar,0.15
IID_Solar,0.15
LADWP_Solar,0.15
NCNC_Solar,0.15
North_Solar,0.15
PGE_Solar,0.15
SCE_Solar,0.15
SDGE_Solar,0.15
South_Solar,0.15
Central_Storage,0.9
IID_Storage,0.9
LADWP_Storage,0.9
North_Storage,0.9
PGE_Storage,0.9
SCE_Storage,0.9
SDGE_Storage,0.9
South_Storage,0.9
Central_Wind,0.3
LADWP_Wind,0.3
North_Wind,0.3
PGE_Wind,0.3
SCE_Wind,0.3
SDGE_Wind,0.3
South_Wind,0.3
Central_NGCC_Invest,0.97
IID_NGCC_Invest,0.97
LADWP_NGCC_Invest,0.97
NCNC_NGCC_Invest,0.97
North_NGCC_Invest,0.97
PGE_NGCC_Invest,0.97
SCE_NGCC_Invest,0.97
SDGE_NGCC_Invest,0.97
South_NGCC_Invest,0.97
Central_Peaker_Invest,0.97
IID_Peaker_Invest,0.97
LADWP_Peaker_Invest,0.97
NCNC_Peaker_Invest,0.97
North_Peaker_Invest,0.97
PGE_Peaker_Invest,0.97
SCE_Peaker_Invest,0.97
SDGE_Peaker_Invest,0.97
South_Peaker_Invest,0.97
Central_NG-CCS_Invest,0.97
North_NG-CCS_Invest,0.97
PGE_NG-CCS_Invest,0.97
SCE_NG-CCS_Invest,0.97
SDGE_NG-CCS_Invest,0.97
South_NG-CCS_Invest,0.97
Central_Solar_Invest,0.05
IID_Solar_Invest,0.05
LADWP_Solar_Invest,0.05
NCNC_Solar_Invest,0.05
North_Solar_Invest,0.05
PGE_Solar_Invest,0.05
SCE_Solar_Invest,0.05
SDGE_Solar_Invest,0.05
South_Solar_Invest,0.05
Central_Solar_LowerQuality_Invest,0.05
IID_Solar_LowerQuality_Invest,0.05
LADWP_Solar_LowerQuality_Invest,0.05
NCNC_Solar_LowerQuality_Invest,0.05
North_Solar_LowerQuality_Invest,0.05
PGE_Solar_LowerQuality_Invest,0.05
SCE_Solar_LowerQuality_Invest,0.05
SDGE_Solar_LowerQuality_Invest,0.05
South_Solar_LowerQuality_Invest,0.05
Central_Storage_Invest,0.8
IID_Storage_Invest,0.8
LADWP_Storage_Invest,0.8
NCNC_Storage_Invest,0.8
North_Storage_Invest,0.8
PGE_Storage_Invest,0.8
SCE_Storage_Invest,0.8
SDGE_Storage_Invest,0.8
South_Storage_Invest,0.8
Central_Wind_Invest,0.25
LADWP_Wind_Invest,0.25
North_Wind_Invest,0.25
PGE_Wind_Invest,0.25
South_Wind_Invest,0.25
Central_Wind_LowerQuality_Invest,0.25
LADWP_Wind_LowerQuality_Invest,0.25
North_Wind_LowerQuality_Invest,0.25
PGE_Wind_LowerQuality_Invest,0.25
South_Wind_LowerQuality_Invest,0.25
