Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
1,0,0,0,0,0,0,0,0,0,0.640001007,0.454739048,0.378854365,0.530001027,0.086258313,0.187415172,0.233029831,0.660000974,0.198148942,0.011877089,0.815988825,0.11744,0.185104102,0.241902143,0,0,0,0,0,0,0,0,0,0.640001007,0.454739048,0.378854365,0.530001027,0.086258313,0.187415172,0.233029831,0.660000974,0,0,0,0,0,0,0,0,0,0.480000755,0.341054286,0.284140774,0.39750077,0.064693735,0.140561379,0.174772373,0.495000731
2,0,0,0,0,0,0,0,0,0,0.650001007,0.461750952,0.383505744,0.540000963,0.087416556,0.189670599,0.236358406,0.670000974,0.177205024,0.01147912,0.804818112,0.10235,0.169464197,0.240679472,0,0,0,0,0,0,0,0,0,0.650001007,0.461750952,0.383505744,0.540000963,0.087416556,0.189670599,0.236358406,0.670000974,0,0,0,0,0,0,0,0,0,0.487500755,0.346313214,0.287629308,0.405000722,0.065562417,0.142252949,0.177268805,0.502500731
3,0,0,0,0,0,0,0,0,0,0.670001007,0.475774762,0.383505744,0.56000103,0.089733042,0.189687935,0.239686981,0.680001106,0.168207886,0.011141469,0.781914326,0.09737,0.164237021,0.253766152,0,0,0,0,0,0,0,0,0,0.670001007,0.475774762,0.383505744,0.56000103,0.089733042,0.189687935,0.239686981,0.680001106,0,0,0,0,0,0,0,0,0,0.502500755,0.356831072,0.287629308,0.420000773,0.067299782,0.142265951,0.179765236,0.51000083
4,0,0,0,0,0,0,0,0,0,0.670001007,0.475774762,0.388854365,0.57000107,0.099733025,0.19162507,0.246344131,0.700000974,0.166316749,0.01118627,0.78661956,0.08993,0.15637599,0.279953303,0,0,0,0,0,0,0,0,0,0.670001007,0.475774762,0.388854365,0.57000107,0.099733025,0.19162507,0.246344131,0.700000974,0,0,0,0,0,0,0,0,0,0.502500755,0.356831072,0.291640774,0.427500803,0.074799769,0.143718803,0.184758098,0.525000731
5,0,0,0,0,0,0,0,0,0,0.690001342,0.489798571,0.398157124,0.610001101,0.104365998,0.196135923,0.256329856,0.730000974,0.172740907,0.011481314,0.803629354,0.09644,0.163259827,0.354494247,0,0,0,0,0,0,0,0,0,0.690001342,0.489798571,0.398157124,0.610001101,0.104365998,0.196135923,0.256329856,0.730000974,0,0,0,0,0,0,0,0,0,0.517501007,0.367348928,0.298617843,0.457500826,0.078274499,0.147101942,0.192247392,0.547500731
6,0,0,0,0,0,0,0,0,0,0.690001342,0.492786667,0.402808503,0.670001082,0.111315515,0.2041901,0.272986997,0.760000922,0.204916262,0.083204157,0.833882612,0.1242,0.192038918,0.488960348,0,0,0,0,0,0,0,0,0,0.690001342,0.492786667,0.402808503,0.670001082,0.111315515,0.2041901,0.272986997,0.760000922,0,0,0,0,0,0,0,0,0,0.517501007,0.36959,0.302106377,0.502500812,0.083486636,0.153142575,0.204740248,0.570000692
7,0,0,0,0.0408818,0,0,0,0.012306723,0.009470379,0.750001342,0.534858095,0.418157124,0.760001054,0.138319957,0.206488866,0.272986997,0.760000922,0.248234955,0.255664959,0.883824264,0.18334,0.251109002,0.709673064,0,0,0,0.0408818,0,0,0,0.012306723,0.009470379,0.750001342,0.534858095,0.418157124,0.760001054,0.138319957,0.206488866,0.272986997,0.760000922,0,0,0,0.03066135,0,0,0,0.009230042,0.007102784,0.562501007,0.401143571,0.313617843,0.570000791,0.103739968,0.15486665,0.204740248,0.570000692
8,0.10393496,0.455001304,0.267610976,0.425158412,0,0.109363736,0.289926806,0.538416506,0.50151184,0.840000671,0.597965238,0.402808503,0.830001192,0.129847349,0.204320121,0.269658422,0.750001053,0.142052574,0.31874303,0.92011911,0.03556,0.095543844,0.159850491,0.10393496,0.455001304,0.267610976,0.425158412,0,0.109363736,0.289926806,0.538416506,0.50151184,0.840000671,0.597965238,0.402808503,0.830001192,0.129847349,0.204320121,0.269658422,0.750001053,0.07795122,0.341250978,0.200708232,0.318868809,0,0.082022802,0.217445105,0.40381238,0.37613388,0.630000503,0.448473929,0.302106377,0.622500894,0.097385512,0.153240091,0.202243817,0.56250079
9,0.359084129,0.767001449,0.735294146,0.710126179,0.137651443,0.410458676,0.680024817,0.775419691,0.731816108,0.900000671,0.643024762,0.402808503,0.860000935,0.133322079,0.210179722,0.276329837,0.750001053,0.072622414,0.011957171,0.914238132,6.80E-04,0.046458254,0.129668912,0.359084129,0.767001449,0.735294146,0.710126179,0.137651443,0.410458676,0.680024817,0.775419691,0.731816108,0.900000671,0.643024762,0.402808503,0.860000935,0.133322079,0.210179722,0.276329837,0.750001053,0.269313097,0.575251087,0.55147061,0.532594634,0.103238582,0.307844007,0.510018613,0.581564768,0.548862081,0.675000503,0.482268572,0.302106377,0.645000701,0.099991559,0.157634792,0.207247378,0.56250079
10,0.543751471,0.819001449,0.837391463,0.756198506,0.14226191,0.558278509,0.793420651,0.722978536,0.649884876,0.900000671,0.643024762,0.387459882,0.870001106,0.11790007,0.207932963,0.273001262,0.740000843,0.064975845,0.011049183,0.927145772,2.00E-05,0.044532672,0.129290576,0.543751471,0.819001449,0.837391463,0.756198506,0.14226191,0.558278509,0.793420651,0.722978536,0.649884876,0.900000671,0.643024762,0.387459882,0.870001106,0.11790007,0.207932963,0.273001262,0.740000843,0.407813603,0.614251087,0.628043597,0.56714888,0.106696433,0.418708882,0.595065488,0.542233902,0.487413657,0.675000503,0.482268572,0.290594912,0.65250083,0.088425053,0.155949722,0.204750947,0.555000632
